extension,mime_type,magic_bytes,offset,has_wildcard,signature_index,description,group,execution_risk
iso,application/octet-stream,43 44 30 30 31,80010880109001,FALSE,1,ISO9660 CD/DVD image file,other,none
iso,application/octet-stream,45 4D 55 33,0,FALSE,2,ISO9660 CD/DVD image file,other,none
cdi,application/octet-stream,43 44 30 30 31,59,FALSE,1,CD-i CD image file,other,none
mgw,application/octet-stream,6D 61 69 6E 2E 62 73,0,FALSE,1,Nintendo Game & Watch image file,other,none
nes,application/octet-stream,4E 45 53,0,FALSE,1,Nintendo Entertainment System image file,other,none
nes,application/octet-stream,4E 45 53 1A,0,FALSE,2,Nintendo Entertainment System image file,other,none
d64,application/octet-stream,A0 32 41 A0 A0 A0,1654,FALSE,1,Commodore 64 1541 disk image (D64 format),other,none
g64,application/octet-stream,47 53 52 2D 31 35 34 31,0,FALSE,1,Commodore 64 1541 disk image (G64 format),other,none
d81,application/octet-stream,A0 33 44 A0 A0,61819,FALSE,1,Commodore 64 1581 disk image (D81 format),other,none
t64,application/octet-stream,43 36 34 20 74 61 70 65 20 69 6D 61 67 65 20 66 69 6C 65,0,FALSE,1,Commodore 64 tape image,other,none
crt,application/octet-stream,43 36 34 20 43 41 52 54 52 49 44 47 45 20 20 20,0,FALSE,1,Commodore 64 cartridge image,other,none
crt,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D,0,FALSE,2,Commodore 64 cartridge image,other,none
fits,application/octet-stream,53 49 4D 50 4C 45 20 20,0,FALSE,1,Flexible Image Transport System ( FITS ),other,none
fits,application/octet-stream,3D 20 20 20 20 20 20 20,0,FALSE,2,Flexible Image Transport System ( FITS ),other,none
fits,application/octet-stream,20 20 20 20 20 20 20 20,0,FALSE,3,Flexible Image Transport System ( FITS ),other,none
fits,application/octet-stream,20 20 20 20 20 54,0,FALSE,4,Flexible Image Transport System ( FITS ),other,none
flac,application/octet-stream,66 4C 61 43,0,FALSE,1,Free Lossless Audio Codec,other,none
mid,application/octet-stream,4D 54 68 64,0,FALSE,1,MIDI sound file,other,none
midi,application/octet-stream,4D 54 68 64,0,FALSE,1,MIDI sound file,other,none
doc,application/octet-stream,D0 CF 11 E0 A1 B1 1A E1,0,FALSE,1,"Compound File Binary Format , a container format defined by Microsoft COM. It can contain the equivalent of files and directories. It is used by Windows Installer and for documents in older versions of Microsoft Office .  It can be used by other programs as well that rely on the COM and OLE API's. (0xD0CF11E0 visually resembles ""DOCFILE"".  )",other,none
doc,application/octet-stream,0D 44 4F 43,0,FALSE,2,"Compound File Binary Format , a container format defined by Microsoft COM. It can contain the equivalent of files and directories. It is used by Windows Installer and for documents in older versions of Microsoft Office .  It can be used by other programs as well that rely on the COM and OLE API's. (0xD0CF11E0 visually resembles ""DOCFILE"".  )",other,none
xls,application/octet-stream,D0 CF 11 E0 A1 B1 1A E1,0,FALSE,1,"Compound File Binary Format , a container format defined by Microsoft COM. It can contain the equivalent of files and directories. It is used by Windows Installer and for documents in older versions of Microsoft Office .  It can be used by other programs as well that rely on the COM and OLE API's. (0xD0CF11E0 visually resembles ""DOCFILE"".  )",other,none
ppt,application/octet-stream,D0 CF 11 E0 A1 B1 1A E1,0,FALSE,1,"Compound File Binary Format , a container format defined by Microsoft COM. It can contain the equivalent of files and directories. It is used by Windows Installer and for documents in older versions of Microsoft Office .  It can be used by other programs as well that rely on the COM and OLE API's. (0xD0CF11E0 visually resembles ""DOCFILE"".  )",other,none
msi,application/octet-stream,D0 CF 11 E0 A1 B1 1A E1,0,FALSE,1,"Compound File Binary Format , a container format defined by Microsoft COM. It can contain the equivalent of files and directories. It is used by Windows Installer and for documents in older versions of Microsoft Office .  It can be used by other programs as well that rely on the COM and OLE API's. (0xD0CF11E0 visually resembles ""DOCFILE"".  )",other,high
msg,application/octet-stream,D0 CF 11 E0 A1 B1 1A E1,0,FALSE,1,"Compound File Binary Format , a container format defined by Microsoft COM. It can contain the equivalent of files and directories. It is used by Windows Installer and for documents in older versions of Microsoft Office .  It can be used by other programs as well that rely on the COM and OLE API's. (0xD0CF11E0 visually resembles ""DOCFILE"".  )",other,none
dex,application/octet-stream,64 65 78 0A 30 33 35 00,0,FALSE,1,Dalvik Executable,other,none
vmdk,application/octet-stream,4B 44 4D,0,FALSE,1,VMDK files,other,none
vmdk,application/octet-stream,23 20 44 69 73 6B 20 44 65 73 63 72 69 70 74 6F,0,FALSE,2,VMDK files,other,none
crx,application/octet-stream,43 72 32 34,0,FALSE,1,Google Chrome extension  or packaged app,other,none
fh8,application/octet-stream,41 47 44 33,0,FALSE,1,FreeHand 8 document,other,none
toast,application/octet-stream,45 52 02 00 00 00,0,FALSE,1,Roxio Toast disc image file,other,none
toast,application/octet-stream,8B 45 52 02 00 00 00,0,FALSE,2,Roxio Toast disc image file,other,none
dmg,application/octet-stream,6B 6F 6C 79,512,FALSE,1,Apple Disk Image file,other,none
xar,application/octet-stream,78 61 72 21,0,FALSE,1,eXtensible ARchive format,other,none
dat,application/octet-stream,50 4D 4F 43 43 4D 4F 43,0,FALSE,1,Windows Files And Settings Transfer Repository  See also USMT 3.0 (Win XP)  and USMT 4.0 (Win 7)  User Guides,other,none
dat,application/octet-stream,72 65 67 66,0,FALSE,2,Windows Files And Settings Transfer Repository  See also USMT 3.0 (Win XP)  and USMT 4.0 (Win 7)  User Guides,other,none
tar,application/octet-stream,75 73 74 61 72 00 30 30,257,FALSE,1,tar archive,other,none
tar,application/octet-stream,75 73 74 61 72 20 20 00,257,FALSE,2,tar archive,other,none
oar,application/octet-stream,4F 41 52 ??,0,TRUE,1,"OAR file archive format, where ?? is the format version.",other,none
tox,application/octet-stream,74 6F 78 33,0,FALSE,1,Open source portable voxel file,other,none
mlv,application/octet-stream,4D 4C 56 49,0,FALSE,1,Magic Lantern Video file,other,none
,application/octet-stream,44 43 4D 01 50 41 33 30,0,FALSE,1,Windows Update Binary Delta Compression file,other,none
,application/octet-stream,50 41 33 30,0,FALSE,1,Windows Update Binary Delta Compression file,other,none
7z,application/octet-stream,37 7A BC AF 27 1C,0,FALSE,1,7-Zip File Format,other,none
gz,application/octet-stream,1F 8B,0,FALSE,1,GZIP compressed file,other,none
targz,application/octet-stream,1F 8B,0,FALSE,1,GZIP compressed file,other,none
xz,application/octet-stream,FD 37 7A 58 5A 00,0,FALSE,1,XZ compression utility using LZMA2 compression,other,none
tarxz,application/octet-stream,FD 37 7A 58 5A 00,0,FALSE,1,XZ compression utility using LZMA2 compression,other,none
lz4,application/octet-stream,04 22 4D 18,0,FALSE,1,LZ4 Frame Format  Remark: LZ4 block format does not offer any magic bytes.,other,none
cab,application/octet-stream,4D 53 43 46,0,FALSE,1,Microsoft Cabinet file,other,none
cab,application/octet-stream,49 53 63 28,0,FALSE,2,Microsoft Cabinet file,other,none
,application/octet-stream,53 5A 44 44 88 F0 27 33,0,FALSE,1,"Microsoft compressed file in Quantum format, used prior to Windows XP. File can be decompressed using Extract.exe or Expand.exe distributed with earlier versions of Windows. After compression, the last character of the original filename extension is replaced with an underscore , e.g. ‘Setup.exe’ becomes ‘Setup.ex_’.",other,none
flif,application/octet-stream,46 4C 49 46,0,FALSE,1,Free Lossless Image Format,other,none
mkv,application/octet-stream,1A 45 DF A3,0,FALSE,1,"Matroska media container, including WebM",other,none
mka,application/octet-stream,1A 45 DF A3,0,FALSE,1,"Matroska media container, including WebM",other,none
mks,application/octet-stream,1A 45 DF A3,0,FALSE,1,"Matroska media container, including WebM",other,none
mk3d,application/octet-stream,1A 45 DF A3,0,FALSE,1,"Matroska media container, including WebM",other,none
webm,application/octet-stream,1A 45 DF A3,0,FALSE,1,"Matroska media container, including WebM",other,none
stg,application/octet-stream,4D 49 4C 20,0,FALSE,1,"""SEAN : Session Analysis"" Training file. Also used in compatible software ""Rpw : Rowperfect for Windows"" and ""RP3W : ROWPERFECT3 for Windows"".",other,none
djvu,application/octet-stream,41 54 26 54 46 4F 52 4D,0,FALSE,1,DjVu document The following byte is either 55 (U) for single-page or 4D (M) for multi-page documents.,other,none
djvu,application/octet-stream,?? ?? ?? ?? 44 4A 56,0,TRUE,2,DjVu document The following byte is either 55 (U) for single-page or 4D (M) for multi-page documents.,other,none
djv,application/octet-stream,41 54 26 54 46 4F 52 4D,0,FALSE,1,DjVu document The following byte is either 55 (U) for single-page or 4D (M) for multi-page documents.,other,none
djv,application/octet-stream,?? ?? ?? ?? 44 4A 56,0,TRUE,2,DjVu document The following byte is either 55 (U) for single-page or 4D (M) for multi-page documents.,other,none
pem,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 2D 2D 2D 2D 2D,0,FALSE,1,PEM encoded X.509 certificate,other,none
pem,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D,0,FALSE,2,PEM encoded X.509 certificate,other,none
pem,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,3,PEM encoded X.509 certificate,other,none
pem,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,4,PEM encoded X.509 certificate,other,none
pem,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 52 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,5,PEM encoded X.509 certificate,other,none
csr,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 43 45 52 54 49 46 49 43 41 54 45 20 52 45 51 55 45 53 54 2D 2D 2D 2D 2D,0,FALSE,1,PEM encoded X.509 Certificate Signing Request,other,none
key,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,1,PEM encoded X.509 PKCS#8 private key,other,none
key,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 44 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,2,PEM encoded X.509 PKCS#8 private key,other,none
key,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 52 53 41 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,3,PEM encoded X.509 PKCS#8 private key,other,none
ppk,application/octet-stream,50 75 54 54 59 2D 55 73 65 72 2D 4B 65 79 2D 46 69 6C 65 2D 32 3A,0,FALSE,1,PuTTY private key file version 2,other,none
ppk,application/octet-stream,50 75 54 54 59 2D 55 73 65 72 2D 4B 65 79 2D 46 69 6C 65 2D 33 3A,0,FALSE,2,PuTTY private key file version 2,other,none
,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 4F 50 45 4E 53 53 48 20 50 52 49 56 41 54 45 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,1,OpenSSH private key file,other,none
pub,application/octet-stream,2D 2D 2D 2D 2D 42 45 47 49 4E 20 53 53 48 32 20 4B 45 59 2D 2D 2D 2D 2D,0,FALSE,1,OpenSSH public key file,other,none
dcm,application/octet-stream,44 49 43 4D,128,FALSE,1,DICOM Medical File Format,other,none
woff,application/octet-stream,77 4F 46 46,0,FALSE,1,WOFF File Format 1.0,other,none
woff2,application/octet-stream,77 4F 46 32,0,FALSE,1,WOFF File Format 2.0,other,none
xml,application/octet-stream,3C 3F 78 6D 6C 20,0,FALSE,1,eXtensible Markup Language,other,none
xml,application/octet-stream,3C 00 3F 00 78 00 6D 00,0,FALSE,2,eXtensible Markup Language,other,none
xml,application/octet-stream,6C 00 20,0,FALSE,3,eXtensible Markup Language,other,none
xml,application/octet-stream,00 3C 00 3F 00 78 00 6D,0,FALSE,4,eXtensible Markup Language,other,none
xml,application/octet-stream,00 6C 00 20,0,FALSE,5,eXtensible Markup Language,other,none
xml,application/octet-stream,3C 00 00 00 3F 00 00 00,0,FALSE,6,eXtensible Markup Language,other,none
xml,application/octet-stream,78 00 00 00 6D 00 00 00,0,FALSE,7,eXtensible Markup Language,other,none
xml,application/octet-stream,6C 00 00 00 20 00 00 00,0,FALSE,8,eXtensible Markup Language,other,none
xml,application/octet-stream,00 00 00 3C 00 00 00 3F,0,FALSE,9,eXtensible Markup Language,other,none
xml,application/octet-stream,00 00 00 78 00 00 00 6D,0,FALSE,10,eXtensible Markup Language,other,none
xml,application/octet-stream,00 00 00 6C 00 00 00 20,0,FALSE,11,eXtensible Markup Language,other,none
xml,application/octet-stream,4C 6F A7 94 93 40,0,FALSE,12,eXtensible Markup Language,other,none
wasm,application/octet-stream,00 61 73 6D,0,FALSE,1,WebAssembly binary format,other,none
lep,application/octet-stream,CF 84 01,0,FALSE,1,Lepton compressed JPEG image,other,none
swf,application/octet-stream,43 57 53,0,FALSE,1,Adobe Flash .swf,other,none
swf,application/octet-stream,46 57 53,0,FALSE,2,Adobe Flash .swf,other,none
deb,application/octet-stream,21 3C 61 72 63 68 3E 0A,0,FALSE,1,linux deb file,other,none
,application/octet-stream,C0 3B 39 98,0,FALSE,1,Linux EXT3 / EXT4 jbd2 filesystem Journal,other,none
webp,application/octet-stream,52 49 46 46 ?? ?? ?? ??,0,TRUE,1,"Google WebP image file, where ?? ?? ?? ?? is the file size. More information on WebP File Header",other,none
webp,application/octet-stream,57 45 42 50,0,FALSE,2,"Google WebP image file, where ?? ?? ?? ?? is the file size. More information on WebP File Header",other,none
,application/octet-stream,27 05 19 56,0,FALSE,1,U-Boot / uImage. Das U-Boot Universal Boot Loader.,other,none
rtf,application/octet-stream,7B 5C 72 74 66 31,0,FALSE,1,Rich Text Format,other,none
,application/octet-stream,54 41 50 45,0,FALSE,1,Microsoft Tape Format,other,none
ts,application/octet-stream,47,178188,FALSE,1,MPEG Transport Stream (MPEG-2 Part 1),other,none
tsv,application/octet-stream,47,178188,FALSE,1,MPEG Transport Stream (MPEG-2 Part 1),other,none
tsa,application/octet-stream,47,178188,FALSE,1,MPEG Transport Stream (MPEG-2 Part 1),other,none
mpg,application/octet-stream,47,178188,FALSE,1,MPEG Transport Stream (MPEG-2 Part 1),other,none
mpg,application/octet-stream,00 00 01 BA,0,FALSE,2,MPEG Transport Stream (MPEG-2 Part 1),other,none
mpg,application/octet-stream,00 00 01 B3,0,FALSE,3,MPEG Transport Stream (MPEG-2 Part 1),other,none
mpeg,application/octet-stream,47,178188,FALSE,1,MPEG Transport Stream (MPEG-2 Part 1),other,none
mpeg,application/octet-stream,00 00 01 BA,0,FALSE,2,MPEG Transport Stream (MPEG-2 Part 1),other,none
mpeg,application/octet-stream,00 00 01 B3,0,FALSE,3,MPEG Transport Stream (MPEG-2 Part 1),other,none
m2p,application/octet-stream,00 00 01 BA,0,FALSE,1,MPEG Program Stream (MPEG-1 Part 1 (essentially identical) and MPEG-2 Part 1),other,none
vob,application/octet-stream,00 00 01 BA,0,FALSE,1,MPEG Program Stream (MPEG-1 Part 1 (essentially identical) and MPEG-2 Part 1),other,none
mp4,application/octet-stream,66 74 79 70 69 73 6F 6D,4,FALSE,1,ISO Base Media file (MPEG-4),other,none
mp4,application/octet-stream,66 74 79 70 4D 53 4E 56,4,FALSE,2,ISO Base Media file (MPEG-4),other,none
zlib,application/octet-stream,78 01,0,FALSE,1,No Compression (no preset dictionary),other,none
zlib,application/octet-stream,78 5E,0,FALSE,2,No Compression (no preset dictionary),other,none
zlib,application/octet-stream,78 9C,0,FALSE,3,No Compression (no preset dictionary),other,none
zlib,application/octet-stream,78 DA,0,FALSE,4,No Compression (no preset dictionary),other,none
zlib,application/octet-stream,78 20,0,FALSE,5,No Compression (no preset dictionary),other,none
zlib,application/octet-stream,78 7D,0,FALSE,6,No Compression (no preset dictionary),other,none
zlib,application/octet-stream,78 BB,0,FALSE,7,No Compression (no preset dictionary),other,none
zlib,application/octet-stream,78 F9,0,FALSE,8,No Compression (no preset dictionary),other,none
lzfse,application/octet-stream,62 76 78 32,0,FALSE,1,LZFSE - Lempel-Ziv style data compression algorithm using Finite State Entropy coding. OSS by Apple.,other,none
orc,application/octet-stream,4F 52 43,0,FALSE,1,Apache ORC (Optimized Row Columnar) file format,other,none
avro,application/octet-stream,4F 62 6A 01,0,FALSE,1,Apache Avro binary file format,other,none
rc,application/octet-stream,53 45 51 36,0,FALSE,1,RCFile columnar file format,other,none
rbxl,application/octet-stream,3C 72 6F 62 6C 6F 78 21,0,FALSE,1,Roblox place file,other,none
p25,application/octet-stream,65 87 78 56,0,FALSE,1,PhotoCap Object Templates,other,none
obt,application/octet-stream,65 87 78 56,0,FALSE,1,PhotoCap Object Templates,other,none
pcv,application/octet-stream,55 55 AA AA,0,FALSE,1,PhotoCap Vector,other,none
pbt,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pdt,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pea,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
peb,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pet,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pgt,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pict,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pjt,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pkt,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
pmt,application/octet-stream,78 56 34,0,FALSE,1,PhotoCap Template,other,none
,application/octet-stream,50 41 52 31,0,FALSE,1,Apache Parquet columnar file format,other,none
ez2,application/octet-stream,45 4D 58 32,0,FALSE,1,Emulator Emaxsynth samples,other,none
ez3,application/octet-stream,45 4D 55 33,0,FALSE,1,Emulator III synth samples,other,none
luac,application/octet-stream,1B 4C 75 61,0,FALSE,1,Lua bytecode,other,none
alias,application/octet-stream,62 6F 6F 6B 00 00 00 00,0,FALSE,1,macOS file Alias  ( Symbolic link ),other,none
alias,application/octet-stream,6D 61 72 6B 00 00 00 00,0,FALSE,2,macOS file Alias  ( Symbolic link ),other,none
,application/octet-stream,62 6F 6F 6B,0,FALSE,1,macOS bookmark format,other,none
,application/octet-stream,5B 5A 6F 6E 65 54 72 61,0,FALSE,1,Microsoft Zone Identifier for URL Security Zones,other,none
,application/octet-stream,6E 73 66 65 72 5D,0,FALSE,1,Microsoft Zone Identifier for URL Security Zones,other,none
eml,application/octet-stream,52 65 63 65 69 76 65 64,0,FALSE,1,Email Message var5 [citation needed],other,none
eml,application/octet-stream,3A,0,FALSE,2,Email Message var5 [citation needed],other,none
tde,application/octet-stream,20 02 01 62 A0 1E AB 07,0,FALSE,1,Tableau Datasource,other,none
tde,application/octet-stream,02 00 00 00,0,FALSE,2,Tableau Datasource,other,none
kdb,application/octet-stream,37 48 03 02 00 00 00 00,0,FALSE,1,KDB file,other,none
kdb,application/octet-stream,58 35 30 39 4B 45 59,0,FALSE,2,KDB file,other,none
pgp,application/octet-stream,85 ?? ?? 03,0,TRUE,1,PGP file,other,none
zst,application/octet-stream,28 B5 2F FD,0,FALSE,1,Zstandard compress,other,none
sml,application/octet-stream,3A 29 0A,0,FALSE,1,Smile file,other,none
,application/octet-stream,4A 6F 79 21,0,FALSE,1,Preferred Executable Format,other,none
vpk,application/octet-stream,34 12 AA 55,0,FALSE,1,"VPK file, used to store game data for some Source Engine games",other,none
ace,application/octet-stream,2A 2A 41 43 45 2A 2A,7,FALSE,1,ACE (compressed file format) [citation needed],other,none
arj,application/octet-stream,60 EA,0,FALSE,1,ARJ,other,none
,application/octet-stream,4B 57 41 4A,0,FALSE,1,Windows 3.1x Compressed File,other,none
,application/octet-stream,53 5A 44 44,0,FALSE,1,Windows 9x Compressed File,other,none
zoo,application/octet-stream,5A 4F 4F,0,FALSE,1,Zoo (file format),other,none
pbm,application/octet-stream,50 31 0A,0,FALSE,1,Portable bitmap ASCII,other,none
pbm,application/octet-stream,50 34 0A,0,FALSE,2,Portable bitmap ASCII,other,none
pgm,application/octet-stream,50 32 0A,0,FALSE,1,Portable Gray Map ASCII,other,none
pgm,application/octet-stream,50 35 0A,0,FALSE,2,Portable Gray Map ASCII,other,none
ppm,application/octet-stream,50 33 0A,0,FALSE,1,Portable Pixmap ASCII,other,none
ppm,application/octet-stream,50 36 0A,0,FALSE,2,Portable Pixmap ASCII,other,none
wmf,application/octet-stream,D7 CD C6 9A,0,FALSE,1,Windows Metafile,other,none
xcf,application/octet-stream,67 69 6D 70 20 78 63 66,0,FALSE,1,XCF (file format),other,none
xpm,application/octet-stream,2F 2A 20 58 50 4D 20 2A,0,FALSE,1,X PixMap,other,none
xpm,application/octet-stream,2F,0,FALSE,2,X PixMap,other,none
aff,application/octet-stream,41 46 46,0,FALSE,1,Advanced Forensics Format,other,none
ex01,application/octet-stream,45 56 46 32,0,FALSE,1,EnCase EWF version 2 format,other,none
e01,application/octet-stream,45 56 46,0,FALSE,1,EnCase EWF version 1 format,other,none
qcow,application/octet-stream,51 46 49,0,FALSE,1,qcow file format,other,none
ani,application/octet-stream,52 49 46 46 ?? ?? ?? ??,0,TRUE,1,Animated cursor,other,none
ani,application/octet-stream,41 43 4F 4E,0,FALSE,2,Animated cursor,other,none
cda,application/octet-stream,52 49 46 46 ?? ?? ?? ??,0,TRUE,1,.cda file,other,none
cda,application/octet-stream,43 44 44 41,0,FALSE,2,.cda file,other,none
qcp,application/octet-stream,52 49 46 46 ?? ?? ?? ??,0,TRUE,1,Qualcomm PureVoice file format,other,none
qcp,application/octet-stream,51 4C 43 4D,0,FALSE,2,Qualcomm PureVoice file format,other,none
dcr,application/octet-stream,52 49 46 58 ?? ?? ?? ??,0,TRUE,1,Adobe Shockwave,other,none
dcr,application/octet-stream,46 47 44 4D,0,FALSE,2,Adobe Shockwave,other,none
dcr,application/octet-stream,58 46 49 52 ?? ?? ?? ??,0,TRUE,3,Adobe Shockwave,other,none
dcr,application/octet-stream,4D 44 47 46,0,FALSE,4,Adobe Shockwave,other,none
dir,application/octet-stream,52 49 46 58 ?? ?? ?? ??,0,TRUE,1,Macromedia Director file format,other,none
dir,application/octet-stream,4D 56 39 33,0,FALSE,2,Macromedia Director file format,other,none
dir,application/octet-stream,58 46 49 52 ?? ?? ?? ??,0,TRUE,3,Macromedia Director file format,other,none
dir,application/octet-stream,33 39 56 4D,0,FALSE,4,Macromedia Director file format,other,none
dxr,application/octet-stream,52 49 46 58 ?? ?? ?? ??,0,TRUE,1,Macromedia Director file format,other,none
dxr,application/octet-stream,4D 56 39 33,0,FALSE,2,Macromedia Director file format,other,none
dxr,application/octet-stream,58 46 49 52 ?? ?? ?? ??,0,TRUE,3,Macromedia Director file format,other,none
dxr,application/octet-stream,33 39 56 4D,0,FALSE,4,Macromedia Director file format,other,none
drx,application/octet-stream,52 49 46 58 ?? ?? ?? ??,0,TRUE,1,Macromedia Director file format,other,none
drx,application/octet-stream,4D 56 39 33,0,FALSE,2,Macromedia Director file format,other,none
drx,application/octet-stream,58 46 49 52 ?? ?? ?? ??,0,TRUE,3,Macromedia Director file format,other,none
drx,application/octet-stream,33 39 56 4D,0,FALSE,4,Macromedia Director file format,other,none
flv,application/octet-stream,46 4C 56,0,FALSE,1,Flash Video file,other,none
vdi,application/octet-stream,3C 3C 3C 20 4F 72 61 63,0,FALSE,1,VirtualBox Virtual Hard Disk file format,other,none
vdi,application/octet-stream,6C 65 20 56 4D 20 56 69,0,FALSE,2,VirtualBox Virtual Hard Disk file format,other,none
vdi,application/octet-stream,72 74 75 61 6C 42 6F 78,0,FALSE,3,VirtualBox Virtual Hard Disk file format,other,none
vdi,application/octet-stream,20 44 69 73 6B 20 49 6D,0,FALSE,4,VirtualBox Virtual Hard Disk file format,other,none
vdi,application/octet-stream,61 67 65 20 3E 3E 3E,0,FALSE,5,VirtualBox Virtual Hard Disk file format,other,none
vhd,application/octet-stream,63 6F 6E 65 63 74 69 78,0,FALSE,1,Windows Virtual PC Virtual Hard Disk file format,other,none
vhdx,application/octet-stream,76 68 64 78 66 69 6C 65,0,FALSE,1,Windows Virtual PC Windows 8 Virtual Hard Disk file format,other,none
isz,application/octet-stream,49 73 5A 21,0,FALSE,1,Compressed ISO image,other,none
daa,application/octet-stream,44 41 41,0,FALSE,1,Direct Access Archive PowerISO,other,none
evt,application/octet-stream,4C 66 4C 65,0,FALSE,1,Windows Event Viewer file format,other,none
evtx,application/octet-stream,45 6C 66 46 69 6C 65,0,FALSE,1,Windows Event Viewer XML file format,other,none
sdb,application/octet-stream,73 64 62 66,8,FALSE,1,Windows customized database,other,none
grp,application/octet-stream,50 4D 43 43,0,FALSE,1,Windows 3.x Program Manager Program Group file format,other,none
icm,application/octet-stream,4B 43 4D 53,0,FALSE,1,ICC profile,other,none
hiv,application/octet-stream,72 65 67 66,0,FALSE,1,Windows Registry file,other,none
pst,application/octet-stream,21 42 44 4E,0,FALSE,1,Microsoft Outlook Personal Storage Table file,other,none
drc,application/octet-stream,44 52 41 43 4F,0,FALSE,1,3D model compressed with Google Draco,other,none
grib,application/octet-stream,47 52 49 42,0,FALSE,1,Gridded data (commonly weather observations or forecasts) in the WMO GRIB or GRIB2 format,other,none
grib2,application/octet-stream,47 52 49 42,0,FALSE,1,Gridded data (commonly weather observations or forecasts) in the WMO GRIB or GRIB2 format,other,none
blend,application/octet-stream,42 4C 45 4E 44 45 52,0,FALSE,1,Blender File Format,other,none
jxl,application/octet-stream,00 00 00 0C 4A 58 4C 20 0D 0A 87 0A,0,FALSE,1,Image encoded in the JPEG XL format,other,none
jxl,application/octet-stream,FF 0A,0,FALSE,2,Image encoded in the JPEG XL format,other,none
ttf,application/octet-stream,00 01 00 00 00,0,FALSE,1,TrueType font,other,none
tte,application/octet-stream,00 01 00 00 00,0,FALSE,1,TrueType font,other,none
dfont,application/octet-stream,00 01 00 00 00,0,FALSE,1,TrueType font,other,none
otf,application/octet-stream,4F 54 54 4F,0,FALSE,1,OpenType font,other,none
,application/octet-stream,23 25 4D 6F 64 75 6C 65,0,FALSE,1,Modulefile for Environment Modules,other,none
wim,application/octet-stream,4D 53 57 49 4D 00 00 00,0,FALSE,1,Windows Imaging Format file,other,none
wim,application/octet-stream,D0 00 00 00 00,0,FALSE,2,Windows Imaging Format file,other,none
swm,application/octet-stream,4D 53 57 49 4D 00 00 00,0,FALSE,1,Windows Imaging Format file,other,none
swm,application/octet-stream,D0 00 00 00 00,0,FALSE,2,Windows Imaging Format file,other,none
esd,application/octet-stream,4D 53 57 49 4D 00 00 00,0,FALSE,1,Windows Imaging Format file,other,none
esd,application/octet-stream,D0 00 00 00 00,0,FALSE,2,Windows Imaging Format file,other,none
slob,application/octet-stream,21 2D 31 53 4C 4F 42 1F,0,FALSE,1,"Slob (sorted list of Object storages ) is a read-only, compressed data store with dictionary-like interface",other,none
,application/octet-stream,AC ED,0,FALSE,1,Serialized Java Data,other,none
voc,application/octet-stream,43 72 65 61 74 69 76 65 20 56 6F 69 63 65 20 46 69 6C 65 1A 1A 00,0,FALSE,1,Creative Voice file,other,none
au,application/octet-stream,2E 73 6E 64,0,FALSE,1,Au audio file format,other,none
,application/octet-stream,DB 0A CE 00,0,FALSE,1,OpenGL Iris Perfomer .PFB (Performer Fast Binary),other,none
hazelrules,application/octet-stream,48 5A 4C 52 00 00 00 18,0,FALSE,1,Noodlesoft Hazel,other,none
flp,application/octet-stream,46 4C 68 64,0,FALSE,1,FL Studio Project File,other,none
flm,application/octet-stream,31 30 4C 46,0,FALSE,1,FL Studio Mobile Project File,other,none
